A,participant_id,age,gender,reaction_time,stimuli_id,condition,pause_length,pause_onset,pause_type,stimuli_length,stimuli_onset,replaced,target,handedness,silent
73,2,23,man,0.667313026022611,120,exp1,0.349036000000069,0.916218999999956,öh,0.142923999999994,1.27127300000007,silence,känner,100,False
74,2,23,man,0.558458526984225,28,exp1,0.653346999999997,2.21431699999999,ehm,0.522677000000016,2.895917,silence,kanske,100,False
76,2,23,man,0.78945417601031,20,exp1,0.712501000000003,1.616593,silent,0.162453999999997,2.405024,ehm,gå,100,True
77,2,23,man,0.425419948001263,119,exp1,0.318945999999983,2.62303299999996,silent,0.334744000000001,2.94197899999995,öh,jobb,100,True
78,2,23,man,0.490924784963426,26,exp1,0.590440000000001,1.542429,ehm,0.347864000000016,2.140815,silence,skulle,100,False
79,2,23,man,0.333406683007956,1,exp1,0.436153,1.904419,silent,0.446749,2.363527,öh,träffa,100,True
80,2,23,man,0.539902935977217,6,exp1,0.37435,2.562181,öh,0.577417999999998,2.950657,silence,med,100,False
81,2,23,man,0.381405999039245,10,exp1,0.614498999999995,1.875283,silent,0.868774999999999,2.81469,öh,nycklar,100,True
82,2,23,man,0.75740835699267,17,exp1,0.734574000000009,3.136067,silent,0.897028000000006,4.146106,ehm,nonchalant,100,True
83,2,23,man,0.433269248012437,91,exp2,0.399092999999994,1.36852599999997,öh,0.595011999999997,1.83873,silence,djur,100,False
84,2,23,man,0.630398480008239,90,exp2,0.258321999999964,2.59918400000004,öh,0.461497000000009,2.86766399999999,silence,djur,100,False
85,2,23,man,0.64208475398624,93,exp2,0.448436000000015,0.904852000000005,silent,0.53115600000001,1.364172,öh,djur,100,True
86,2,23,man,0.813620784000591,101,exp2,0.37514699999997,0.706031999999937,öh,0.665397000000098,1.08117899999991,silence,fordon,100,False
87,2,23,man,0.677083491990743,107,exp2,0.387483000000088,2.05841299999997,silent,0.544944000000101,2.71020399999998,ehm,fordon,100,True
88,2,23,man,0.603813759950867,117,exp2,0.626938999999993,1.45705200000009,ehm,0.809796000000006,2.31038599999999,silence,teknologi,100,False
89,2,23,man,0.671803707989056,95,exp2,0.588842999999997,2.20589599999994,silent,1.11492099999998,2.79473899999994,ehm,djur,100,True
90,2,23,man,0.707970933998695,110,exp2,0.406349999999975,2.46712000000002,öh,0.743037999999956,2.90830000000005,silence,teknologi,100,False
91,2,23,man,0.698207919985748,100,exp2,0.345397000000048,2.20734700000003,öh,0.682087000000024,2.56290200000001,silence,fordon,100,False
92,2,23,man,0.419677027023795,114,exp2,0.399092999999994,1.66893399999992,ehm,0.605170000000044,2.17396799999995,silence,teknologi,100,False
93,2,23,man,1.18516047600588,112,exp2,0.370794000000046,1.79156499999999,silent,0.621134000000097,2.24943299999995,öh,teknologi,100,True
94,2,23,man,0.964710479026281,106,exp2,0.570339999999987,1.74730099999999,silent,1.05650800000001,2.51065700000004,ehm,fordon,100,True
95,2,23,man,0.69064118502763,105,exp2,0.667573999999945,2.00272100000007,silent,0.870748000000049,2.69351500000005,ehm,fordon,100,True
96,2,23,man,0.904947851974156,118,exp2,0.592108999999937,1.51800400000002,ehm,0.862040999999977,2.33941000000004,silence,teknologi,100,False
97,2,23,man,0.70884906701258,116,exp2,0.49705199999994,1.84598600000004,ehm,0.788753000000042,2.43156399999998,silence,teknologi,100,False
98,2,23,man,0.612958035989322,103,exp2,0.428844000000026,1.57895700000006,silent,0.518095000000017,2.06367399999999,öh,fordon,100,True
99,2,23,man,0.567173630004049,96,exp2,0.717641999999955,1.52018199999998,ehm,0.595011999999997,2.31328799999994,silence,djur,100,False
100,2,23,man,0.63956586902907,99,exp2,0.920090999999957,2.25378699999999,silent,0.95201899999995,3.27256199999999,ehm,djur,100,True
101,2,23,man,0.736990396021156,111,exp2,0.365714999999909,1.49623600000007,öh,0.853333000000021,1.99836800000003,silence,teknologi,100,False
102,2,23,man,0.887269736994881,94,exp2,0.444080999999983,1.399002,silent,0.51519200000007,1.93160999999998,öh,djur,100,True
103,2,23,man,0.630164812016005,102,exp2,0.426666999999952,1.99111100000005,silent,0.986848000000009,2.44825400000002,öh,fordon,100,True
104,2,23,man,0.704492097977095,113,exp2,0.325441999999953,1.22195000000011,silent,0.743038999999953,1.65333300000009,öh,teknologi,100,True
105,2,23,man,0.989527897963285,104,exp2,0.465850000000046,2.65142900000001,öh,0.700951999999916,3.1274380000001,silence,fordon,100,False
106,2,23,man,0.565883110980508,98,exp2,0.484353999999939,2.512834,ehm,0.766257999999993,3.17242599999997,silence,djur,100,False
107,2,23,man,0.790080266960103,115,exp2,0.510839000000033,1.60798199999999,silent,1.09133799999995,2.14204100000006,ehm,teknologi,100,True
108,2,23,man,0.829285667045155,92,exp2,0.417958999999996,3.45396899999997,silent,0.754647999999975,3.92997800000001,öh,djur,100,True
109,2,23,man,0.700156057999039,97,exp2,0.563084000000004,2.08979599999998,silent,0.650159000000031,2.73124699999994,ehm,djur,100,True
